day,ship_id,avg_fuel_level,avg_speed_knots,avg_distance_left_km,total_records
2025-04-26 18:43:24,bellisimo,95.66,15.02,2354.03,30
2025-04-26 18:43:24,santa-maria,95.11,15.19,2961.18,30
2025-04-26 18:43:24,titanic,95.56,15.81,3946.83,30
2025-04-26 19:00:24,bellisimo,95.76,13.79,2347.8,30
2025-04-26 19:00:24,santa-maria,95.94,15.09,2953.92,30
2025-04-26 19:00:24,titanic,95.36,15.14,3952.8,30
2025-04-27 19:19:30,bellisimo,38.78,16.42,1759.96,1
2025-04-27 19:19:30,santa-maria,34.61,16.68,2365.33,1
2025-04-27 19:19:30,titanic,38.8,16.72,3395.13,1
2025-04-27 19:19:35,bellisimo,38.37,19.74,1757.04,1
2025-04-27 19:19:35,santa-maria,34.25,16.66,2364.11,1
2025-04-27 19:19:35,titanic,38.64,11.57,3391.36,1
2025-04-27 19:19:40,bellisimo,37.89,18.55,1753.34,1
2025-04-27 19:19:40,santa-maria,33.78,18.92,2360.39,1
2025-04-27 19:19:40,titanic,38.14,14.68,3389.71,1
2025-04-27 19:19:45,bellisimo,37.76,18.16,1750.2,1
2025-04-27 19:19:45,santa-maria,33.56,19.33,2355.91,1
2025-04-27 19:19:45,titanic,38.04,11.58,3387.11,1
2025-04-27 19:19:50,bellisimo,37.65,18.51,1747.06,1
2025-04-27 19:19:50,santa-maria,33.12,18.61,2351.93,1
2025-04-27 19:19:50,titanic,37.83,13.31,3385.61,1
2025-04-27 19:19:54,bellisimo,37.53,12.18,1742.2,1
2025-04-27 19:19:54,santa-maria,32.81,17.31,2348.47,1
2025-04-27 19:19:54,titanic,37.54,14.17,3381.12,1
2025-04-27 19:19:59,bellisimo,37.27,15.37,1739.16,1
2025-04-27 19:19:59,santa-maria,32.6,15.15,2347.35,1
2025-04-27 19:19:59,titanic,37.17,13.58,3378.15,1
2025-04-27 19:20:04,bellisimo,36.82,12.96,1737.09,1
2025-04-27 19:20:04,santa-maria,32.43,17.74,2342.63,1
2025-04-27 19:20:04,titanic,36.82,17.1,3374.66,1
2025-04-27 19:20:09,bellisimo,36.67,15.95,1733.4,1
2025-04-27 19:20:09,santa-maria,32.0,18.42,2339.82,1
2025-04-27 19:20:09,titanic,36.39,10.91,3371.36,1
2025-04-27 19:20:14,bellisimo,36.43,13.5,1729.06,1
2025-04-27 19:20:14,santa-maria,31.78,14.38,2336.55,1
2025-04-27 19:20:14,titanic,35.96,11.94,3367.46,1
2025-04-27 19:20:19,bellisimo,36.21,12.22,1724.11,1
2025-04-27 19:20:19,santa-maria,31.57,15.17,2333.17,1
2025-04-27 19:20:19,titanic,35.82,15.0,3365.83,1
2025-04-27 19:20:22,bellisimo,35.88,16.74,1719.97,1
2025-04-27 19:20:22,santa-maria,31.13,18.69,2330.34,1
2025-04-27 19:20:22,titanic,35.33,15.93,3363.79,1
2025-04-27 19:20:27,bellisimo,35.68,12.89,1715.86,1
2025-04-27 19:20:27,santa-maria,30.82,10.02,2328.35,1
2025-04-27 19:20:27,titanic,35.04,18.1,3360.06,1
2025-04-27 19:20:32,bellisimo,35.31,16.94,1712.62,1
2025-04-27 19:20:32,santa-maria,30.52,12.87,2323.79,1
2025-04-27 19:20:32,titanic,34.7,15.6,3358.58,1
